model,target_length,metric,point,ci_low,ci_high,stderr,n,method
DPRM-DPLM-2 Bit,300,bb_tmscore,0.34975813950233026,0.3410434440092829,0.3605235146793717,0.00504071332050169,50,bootstrap_samples
DPRM-DPLM-2 Bit,300,mean_plddt,66.82319526672363,62.90962599182129,70.39835833358765,1.9069015388613564,50,bootstrap_samples
DPRM-DPLM-2 Bit,300,designable,0.02,0.0,0.06,0.020034584620505193,50,bootstrap_samples
DPRM-DPLM-2 Bit,400,ca_rmsd,90.55107956027545,81.84113914323879,99.79191276860712,4.5184986540328325,50,bootstrap_samples
DPRM-DPLM-2 Bit,400,bb_tmscore,0.387473415597801,0.37481266941966007,0.4003965993890487,0.006577327123230257,50,bootstrap_samples
DPRM-DPLM-2 Bit,400,mean_plddt,58.52836479187012,55.87061686134338,61.167665216445926,1.3553659412810353,50,bootstrap_samples
DPRM-DPLM-2 Bit,400,designable,0.0,0.0,0.0,0.0,50,bootstrap_samples
DPRM-DPLM-2 Bit,500,ca_rmsd,84.28071578369617,77.67249611050815,90.97963047930509,3.4031406601497323,50,bootstrap_samples
DPRM-DPLM-2 Bit,500,bb_tmscore,0.34225711090201516,0.32626038171602584,0.3585241963428179,0.008084678636862377,50,bootstrap_samples
DPRM-DPLM-2 Bit,500,mean_plddt,55.30349494934082,52.755749206542966,57.83363361358642,1.2871962780114456,50,bootstrap_samples
DPRM-DPLM-2 Bit,500,designable,0.0,0.0,0.0,0.0,50,bootstrap_samples
DPRM(random)-DPLM-2 Bit,100,ca_rmsd,25.703676668907725,24.033607365613683,27.38163783365487,0.8600561095226661,50,bootstrap_samples
DPRM(random)-DPLM-2 Bit,100,bb_tmscore,0.6440634000402309,0.6319385860444459,0.6527980590103574,0.005322104356330173,50,bootstrap_samples
DPRM(random)-DPLM-2 Bit,100,mean_plddt,81.3138818359375,79.06644120025635,83.03626053619385,1.0237868916597783,50,bootstrap_samples
DPRM(random)-DPLM-2 Bit,100,designable,0.98,0.94,1.0,0.019840130799922466,50,bootstrap_samples
DPRM(random)-DPLM-2 Bit,200,ca_rmsd,74.23544346414108,70.54193376200557,77.09521593954499,1.6425082421824295,50,bootstrap_samples
DPRM(random)-DPLM-2 Bit,200,bb_tmscore,0.5912541995084327,0.5869839760077038,0.596297859921035,0.002365938032216955,50,bootstrap_samples
DPRM(random)-DPLM-2 Bit,200,mean_plddt,85.27610900878906,84.3216300163269,86.04747575378418,0.4528236877353126,50,bootstrap_samples
DPRM(random)-DPLM-2 Bit,200,designable,1.0,1.0,1.0,0.0,50,bootstrap_samples
DPRM(random)-DPLM-2 Bit,300,ca_rmsd,115.53172967419799,109.5381779027461,120.70027679910201,2.8422739062269775,50,bootstrap_samples
DPRM(random)-DPLM-2 Bit,300,bb_tmscore,0.34169181550870553,0.3328771142540704,0.35152680884353893,0.004808307269566299,50,bootstrap_samples
DPRM(random)-DPLM-2 Bit,300,mean_plddt,75.63512069702148,74.62977912902832,76.5807400932312,0.48816932669344615,50,bootstrap_samples
DPRM(random)-DPLM-2 Bit,300,designable,0.0,0.0,0.0,0.0,50,bootstrap_samples
DPRM(random)-DPLM-2 Bit,400,ca_rmsd,99.51074406823524,92.6157341356531,106.83177142326899,3.6264785479627997,50,bootstrap_samples
DPRM(random)-DPLM-2 Bit,400,bb_tmscore,0.3741276412621741,0.3660803870250731,0.38126895096980223,0.0038419263122707902,50,bootstrap_samples
DPRM(random)-DPLM-2 Bit,400,mean_plddt,66.84462566375733,64.50967171859742,68.78722146511078,1.0821955472185352,50,bootstrap_samples
DPRM(random)-DPLM-2 Bit,400,designable,0.0,0.0,0.0,0.0,50,bootstrap_samples
DPRM(random)-DPLM-2 Bit,500,ca_rmsd,86.16894657269573,80.7584217803369,91.62149723833639,2.7740819705128414,50,bootstrap_samples
DPRM(random)-DPLM-2 Bit,500,bb_tmscore,0.3121817219784384,0.2959709050338747,0.32953749620485157,0.008600614718072403,50,bootstrap_samples
DPRM(random)-DPLM-2 Bit,500,mean_plddt,61.403309936523435,59.572906696319585,63.12973924446106,0.9115113934780649,50,bootstrap_samples
DPRM(random)-DPLM-2 Bit,500,designable,0.0,0.0,0.0,0.0,50,bootstrap_samples
